Time,Content,Date
2016-01-06 13:15:11,"Ex-Fed official: The Fed ""is a giant weapon that has no ammunition left."" https://t.co/1OiKFA2d2r https://t.co/RrpDLds9xX h/t @tracyalloway",2016-01-06
2016-01-06 14:37:41,Marc Faber: We have a colossal credit bubble in China. https://t.co/0RPH4ZbuzE @flacqua @markets,2016-01-06
2016-01-06 14:39:17,@GreatAplomb Hahahaha,2016-01-06
2016-01-06 15:01:53,"The Fed's Fischer sees four rate hikes in 2016, but who knows? Things happen. China. Etc. You know. https://t.co/FhXGJcBor4 @business",2016-01-06
2016-01-06 16:20:12,Cantor Fitzgerald is still trying to make headway in leveraged-finance banking. https://t.co/JbyZE2Swda,2016-01-06
2016-01-06 17:41:11,2015 was the year of Grexit fears. This may be the year of Brexit worries. https://t.co/2mYCAtoaRt @business,2016-01-06
2016-01-06 18:17:23,An interesting piece by @tylercowen on how income inequality is falling globally. https://t.co/cOKj3Fx279,2016-01-06
2016-01-06 18:52:47,"Goldman Sachs is gaining ground in the debt business, just as it wanted. The question is, will it be worth it? https://t.co/ALx4L3AMi9 @bfly",2016-01-06
2016-01-06 19:02:48,The Fed's December meeting minutes come out. Markets shrug. Nothing all that new. https://t.co/D7dFCUXPTx,2016-01-06
2016-01-06 20:55:26,"China’s high debt levels are the nation’s main short-term risk, said the World Bank.  https://t.co/aGwOJytORK @business",2016-01-06
2016-01-07 02:08:17,"Maybe China should re-think those circuit breakers, because they don't seem to be working to calm traders down.  https://t.co/Jd1UnbfYGP",2016-01-07
2016-01-07 02:44:37,"@PeterRMaher @TheStalwart When so many traders are waiting for oil to hit bottom, every dollar lower re-sets the floor &amp; makes a difference.",2016-01-07
2016-01-07 13:30:52,Oil producers have $100 billion wiped out in their worst start to a year ever. https://t.co/jUKBVvLoXF @business,2016-01-07
2016-01-07 13:33:42,China's burning through cash to support the yuan. https://t.co/iXcu8E66r9 @business,2016-01-07
2016-01-07 14:05:20,"Talking about higher inflation now? Perhaps this Fed member will eventually be right, but this feels out of touch. https://t.co/FnQa8aeGZQ",2016-01-07
2016-01-07 14:09:16,European government bonds aren't rallying as much as one would think in a risk off time. Prices are already too high https://t.co/4VjlI2KqoA,2016-01-07
2016-01-07 14:37:52,"This fund manager made 6,400% in 15 years, but he can't trade these markets: @scouseview https://t.co/iqYnYwK0fx @BV",2016-01-07
2016-01-07 15:49:20,You're not alone if you're confused about China's response to recent market turmoil. https://t.co/xztlBchB5u @mbrookerhk @bfly,2016-01-07
2016-01-07 16:00:34,@OptionsHawk fyi: https://t.co/TGK9jdzhL1,2016-01-07
2016-01-07 16:08:04,Experiment: circuit breakers. Result: Failure. https://t.co/PtQVm6wQKs @business,2016-01-07
2016-01-07 19:33:22,China is weakening the world's most-liquid debt markets. https://t.co/LgXRGuCR8S @bfly,2016-01-07
2016-01-07 19:40:40,Hedge funds in China are facing forced stock sales. https://t.co/tJC3avRyxQ @business,2016-01-07
2016-01-07 20:02:55,"""The yuan should depreciate at least 10 percent to have any impact on exports.""  https://t.co/FclvHjbETS",2016-01-07
2016-01-07 20:22:57,"""This is an environment that will force deleveraging."" @elerianm makes important points here RE:market turmoil https://t.co/InHbh9EuUF",2016-01-07
2016-01-08 00:58:55,"Wall Street finds itself trading around Asia, &amp; its hours. ""I'm getting too old for this."" https://t.co/jfwZk09b6E @business",2016-01-08
2016-01-08 01:02:29,Asset bubbles hurt the real economy less when they involve stocks.  https://t.co/RHb3foBgue @BV,2016-01-08
2016-01-08 11:18:03,ETFs have grown to account for 70% of the equity options market.  https://t.co/XvTC4NMUGf @markets,2016-01-08
2016-01-08 12:33:42,Central bankers have lost their ability to act as circuit breakers for financial markets. https://t.co/Mml1XClRzT @simonjkennedy @business,2016-01-08
2016-01-08 12:36:38,Everything's fine now that China has gone back to  just buying securities to prop up prices. https://t.co/Ycqiy07D9s @markets,2016-01-08
2016-01-08 13:11:12,"Jefferies sees a ""substantial"" liquidity void growing that could make ""a small inflection point a lot worse."" https://t.co/qFUiomWTou",2016-01-08
2016-01-08 13:16:58,@ALWAYSCLOSINGIT At least I'm consistent?,2016-01-08
2016-01-08 13:32:32,"So headline number is great, but earnings disappoint. Treasury yields jump and then retreat a bit as traders digest the data.",2016-01-08
2016-01-09 00:19:49,This does not bode well for U.S. stocks. Investment-grade credit is selling off. https://t.co/WGI8FNyaD8 @business,2016-01-09
2016-01-10 23:35:59,Pension and mutual funds have more of their holdings in cash than they have had in years.     https://t.co/JuOIfzFqZl,2016-01-10
2016-01-10 23:41:57,China's selling its Treasury holdings at the fastest pace ever &amp; U.S. bond traders kinda don't care. https://t.co/NMNbx7diE6 @markets,2016-01-10
2016-01-10 23:50:02,Many nations would be better off using their money for something other than futile currency wars at this point.  https://t.co/YcC1ZBFYpg,2016-01-10
2016-01-10 23:51:28,@HansMrkts happy new year to you too!,2016-01-10
2016-01-10 23:55:11,Former LTCM managers are starting a new firm in China right now. Who's willing to give them some leverage? https://t.co/l7gmfJso6X,2016-01-10
2016-01-11 00:40:50,Capitulation. https://t.co/E9pihAfd65 @business,2016-01-11
2016-01-11 00:46:28,"TPG adopts an ""eat what you kill"" compensation model. https://t.co/iXp0SjA8Ut @kielporter @business",2016-01-11
2016-01-11 01:37:02,The emotional baggage of luggage fees. https://t.co/Cr6ufA3rMB @bfly,2016-01-11
2016-01-11 01:44:23,The latest market turmoil is sending a warning signal &amp; policy makers need to pay attention: Larry Summers https://t.co/RxilyF8mQg,2016-01-11
2016-01-11 01:56:00,@moorehn It's an unfortunate feedback loop. Markets watch policy makers who watch markets who watch...etc. Not healthy &amp; no easy end game.,2016-01-11
2016-01-11 01:58:09,@moorehn best use of 'feh' I've read in a long time.,2016-01-11
2016-01-11 03:27:17,How does this fit into the narrative of UBS shrinking &amp; emphasizing wealth management over all else?  https://t.co/uuLM53UGQY @business,2016-01-11
2016-01-11 13:03:21,Morgan Stanley sees oil prices falling as low as $20 a barrell. https://t.co/Qx8KROxQTu @business,2016-01-11
2016-01-11 13:40:43,"Arch Coal files for bankruptcy, allowing it to erase $4.5 billion of debt from its balance sheet. https://t.co/JKDG3COkWP @business",2016-01-11
2016-01-11 13:55:16,Howard Marks became a billionaire for a reason. See exhibit A. https://t.co/buSgDIhJmF @bfly,2016-01-11
2016-01-11 14:28:32,Big Wall Street banks agreed to pay $1.9 billion to resolve claims that they conspired to limit CDS-mkt competition https://t.co/n4lATnanIC,2016-01-11
2016-01-11 14:35:00,BlueCrest &amp; BlueMountain are likely first in line to receive a chunk of that $1.9 billion CDS settlement. https://t.co/AKlgs77WOK,2016-01-11
2016-01-11 14:48:17,How long can cost cutting pad the pockets of Wall Street banks? https://t.co/y3AawowfHj @business,2016-01-11
2016-01-11 16:34:05,“The world’s just had enough of Sprint paper.You can’t really put any more stuffing in the turkey.” https://t.co/FBg3yZK3Qd,2016-01-11
2016-01-11 16:50:46,"Beneath all of China's financial turbulence there lurks a credit crisis, says UBS economic adviser George Magnus. https://t.co/r0vLh7pHnz",2016-01-11
2016-01-11 17:23:15,"Guggenheim's Minerd sees a bear market in equities, more pain in credit &amp; oil falling to $25. https://t.co/b82nHtkN7G @johngitt @business",2016-01-11
2016-01-11 18:36:17,Citi's chief economist sees about a one-in-three chance of the UK voting to exit the European Union. https://t.co/9ifP06ReDL @business,2016-01-11
2016-01-11 19:36:44,"A less-noted &amp; perhaps more significant bankruptcy filing today was that of Sherwin Alumina, a US unit of Glencore: https://t.co/uNI8LoEPaP",2016-01-11
2016-01-11 20:54:50,Oil falls to a 12-year low. And keeps falling. https://t.co/11lRgIwaXx  @business,2016-01-11
2016-01-11 20:57:27,@liamdenning is feeling existential today. I suspect quite a few oil traders are as well. https://t.co/fraGodRjbQ @bfly,2016-01-11
2016-01-11 21:04:59,"The SEC is worried about ETFs, particularly those that own hard-to-trade debt &amp; those that use leverage. https://t.co/azv0Qpv0pT",2016-01-11
2016-01-11 21:07:37,@UplandsCapital These are among the SEC's examination priorities of this year; unclear whether the agency will want to do anything,2016-01-11
2016-01-11 21:08:21,@UplandsCapital or whether the SEC will see a problem at all. This is not being run out of the agency's enforcement arm,2016-01-11
2016-01-11 21:35:06,The leveraged-loan market is preparing to implement rules that will penalize investors who hold up trades https://t.co/nAqfaOrmLy @sridinats,2016-01-11
2016-01-11 21:53:57,"Stop worrying so much until there's reason to worry, which there may be, says Fed official. https://t.co/nn4EVTrZ3O @business",2016-01-11
2016-01-12 02:16:37,This is what happens to a mutual-fund firm that prevents investors from withdrawing cash. https://t.co/LT9u2d8keO @markets,2016-01-12
2016-01-12 02:19:58,UBS is facing off against Goldman Sachs in China. https://t.co/FEodztsjsN @business,2016-01-12
2016-01-12 12:58:23,Negative rates have backfired in Japan: BNP strategist https://t.co/LShP7yzgdy @business,2016-01-12
2016-01-12 14:20:45,The outlook for corporate borrowers worldwide is the worst since the global financial crisis: S&amp;P https://t.co/b2MLzVG0mN @katielinsell,2016-01-12
2016-01-12 14:32:31,"The SEC is concerned about liquidity as a ""market-wide risk"" after the failure last year of a high-yield bond fund https://t.co/gl3fp8z9xi",2016-01-12
2016-01-12 17:23:12,Junk bonds are signaling a 44% chance of a U.S. recession within the next year: Marty Fridson https://t.co/vyeyOc9JBw @alekswrites @markets,2016-01-12
2016-01-12 17:43:55,Commodity returns fall to the lowest since at least 1991. https://t.co/2ohQznEgi4 @aggiedesousa @edvanderwalt @business,2016-01-12
2016-01-12 18:22:39,DoubleLine's Gundlach: Technicals call for a short-term bottom in oil prices https://t.co/UII1wTJAl4,2016-01-12
2016-01-12 18:36:36,Just shunning energy won't protect you from junk-debt slump. https://t.co/W2U2rMgBYE @bfly,2016-01-12
2016-01-12 19:07:12,Investment bankers are ready for a fight when it comes to compensation cuts. https://t.co/y4D472dKcs @business,2016-01-12
2016-01-12 19:53:32,The selloff in biotech shares has been far uglier than the broader market's. https://t.co/6IPh89sYmO @maxnisen,2016-01-12
2016-01-12 20:02:25,"Puerto Rico is trying to solidify a restructuring agreement before July 1, when it must make a $2 billion payment https://t.co/m7nGEqFnmf",2016-01-12
2016-01-12 20:24:24,This $10 billion hedge fund lost 8% in the first week of 2016.  https://t.co/Y3pVJqo3pE,2016-01-12
2016-01-12 21:15:32,"Credit Suisse is going to make another round of layoffs in fixed income this week or next, according to recruiters. https://t.co/wflc7P7fCr",2016-01-12
2016-01-12 22:03:01,"Crispin Odey’s main hedge fund gained 14% this month, wiping out last year’s loss in 11 days https://t.co/OJYf4DkFhH h/t @LadyFOHF",2016-01-12
2016-01-12 22:06:16,"This is capital preservation, not money-making time, says Jeff Gundlach.",2016-01-12
2016-01-13 02:06:20,KKR is holding the greatest proportion of its assets in cash since 2011. https://t.co/vuRpIq5sDr @business,2016-01-13
2016-01-13 03:14:39,Am I missing something? I don't see how this bolsters investor confidence in the medium term. Just the opposite https://t.co/5S3sBoqoO4,2016-01-13
2016-01-13 13:32:37,No Brazilian company has sold bonds abroad since June -- the longest drought since at least 1999: Bloomberg data,2016-01-13
2016-01-13 13:38:50,Watch out for that flattening yield curve. https://t.co/4WUiF9Phfn @lucy_meakin @markets,2016-01-13
2016-01-13 13:41:14,Currency-market volatility is dragging down US corporate earnings by the most since 2011. https://t.co/Wak16OtYTu @LananhTNguyen,2016-01-13
2016-01-13 13:41:53,"@Dvolatility If they go more than once, then watch for the curve to flatten even more...",2016-01-13
2016-01-13 13:58:12,"Some bond mutual-fund firms had substantial withdrawals last month, including Loomis Sayles &amp; Ivy Investment. https://t.co/d8ypJgXsxm",2016-01-13
2016-01-13 14:06:04,Perhaps antiquated markets must truly wither before they can be revived in an electronic era. https://t.co/YCniaKHGYH @bfly,2016-01-13
2016-01-13 14:16:56,The time to be most afraid of junk debt is when yields &amp; spreads are lowest. They're higher now: @MktOutperform https://t.co/ITs7vfkDYb,2016-01-13
2016-01-13 14:58:02,Here's why geopolitical risk has vanished from oil prices: @liamdenning https://t.co/INRJcK2R88 @bfly,2016-01-13
2016-01-13 15:33:08,Jeff Gundlach &amp; Larry Summers agree with bond traders in saying the Fed is too ambitious in its plans to raise rates https://t.co/WtKWsCBU0x,2016-01-13
2016-01-13 16:25:19,Brazilian companies have $7.9 billion of bonds maturing at a time when they're all but shut out of overseas markets. https://t.co/CqIgsBhRh2,2016-01-13
2016-01-13 16:47:18,Credit weakness? Whatever. Here comes the biggest corporate bond sale ever. https://t.co/RLgH5I3j5N @business,2016-01-13
2016-01-13 17:33:09,This debt sale is huge. Investors can't seem to buy enough bonds backed by beer. https://t.co/AaYt1byRjO @business,2016-01-13
2016-01-13 17:42:54,@danyzn @business Intoxicating liquidity. Heh heh,2016-01-13
2016-01-13 17:48:19,"This probably wasn't the point of tax-exempt bonds, to allow states to rent out their tax benefit to companies... https://t.co/4MnqTsOp75",2016-01-13
2016-01-13 18:06:20,@cate_long so the reason for these conduits is largely just because it's easier to issue in some municipalities than others...?,2016-01-13
2016-01-13 21:01:11,"The bigger corporate bond sales get, the more investors seem to like them https://t.co/e4aqoLOSTw @bfly",2016-01-13
2016-01-13 21:07:11,The SEC is reviewing high-yield funds after Third Avenue's blowup. https://t.co/AjFdXivxiu,2016-01-13
2016-01-13 21:21:39,"This credit-fear gauge is skyrocketing, but investors are still eating up the massive AB InBev bond deal. Go figure https://t.co/MqCpwMRv8k",2016-01-13
2016-01-14 00:48:30,Goldman is weighing whether to cut more than 5% of its fixed income staff: sources tell @MooreMichaelJ  https://t.co/huW2ui0ODN @business,2016-01-14
2016-01-14 11:25:48,About that $28 trillion Chinese debt bubble.... https://t.co/ImCKIbuqYB @endacurran @business,2016-01-14
2016-01-14 11:30:54,Is anyone out there still feeling optimistic about oil prices? https://t.co/uIjLAAW4oK @business,2016-01-14
2016-01-14 11:33:22,"Guys, you're being too emotional, Goldman Sachs tells stock traders. https://t.co/dF31qRpdOB @markets",2016-01-14
2016-01-14 11:37:37,More evidence that bond traders don't think the Fed will hike rates all that much more this year. https://t.co/YbQFowzEG6 @business,2016-01-14
2016-01-14 15:07:46,Analysts expect the biggest quarterly drop in US profits since 2009. https://t.co/id0FsrfrhP,2016-01-14
2016-01-14 16:01:47,"""I'm in to win,"" says billionaire Steve Cohen about Powerball. And, perhaps, his recent agreement with the SEC. https://t.co/7cA334VIew",2016-01-14
2016-01-14 16:23:55,"JPMorgan will keep boosting provisions against oil-loan defaults, but isn't planning to withdraw from the business. https://t.co/2v0u6SZQVu",2016-01-14
2016-01-14 16:45:35,"Is exaggerating the truth equal to lying? Maybe, DB implies as it probes its subprime auto-loan debt unit. https://t.co/tzBKKwZ0N1 @scullmb",2016-01-14
2016-01-14 18:27:15,"""A bankruptcy doesn’t necessarily mean your loan is bad,"" said JPM's Dimon. Just...complicated. And potentially bad. https://t.co/LrdVKVnh3d",2016-01-14
2016-01-15 01:01:09,An equities guy is taking over Morgan Stanley's debt unit.  https://t.co/ZozM0HGZSW,2016-01-15
2016-01-15 01:25:17,Another hedge fund is returning all outside client money. https://t.co/ypWx4PKcsq,2016-01-15
2016-01-15 01:48:30,"China is in a dangerous no-man's-land between state &amp; market control.
https://t.co/hAyzIBW2PH",2016-01-15
2016-01-15 02:21:01,Oaktree's Marks advises a more aggressive stance in '16 since mkts tend to be bipolar &amp; are getting too pessimistic https://t.co/ZXTNqv85N1,2016-01-15
2016-01-15 02:23:49,@TimOBrien You're a picture-search genius,2016-01-15
2016-01-15 13:32:49,"At what point will lower oil prices be a good thing? So far, price drops are treated as very bad news by markets https://t.co/rw718z7GHY",2016-01-15
2016-01-15 13:34:04,This doesn't bode well for Claire's or Best Buy...Sales at US retailers were the weakest last year since 2009. https://t.co/NjtM8idulS,2016-01-15
2016-01-15 13:38:57,A former Fed official worries about Fed credibility. https://t.co/t9gYpAVWS9 …,2016-01-15
2016-01-15 13:39:40,@kocherlakota009 Thank you. I corrected that. Apologies.,2016-01-15
2016-01-15 15:33:53,Hedge fund traders jump back over the fence to Wall Street. https://t.co/fFnFa2W2ba @bfly,2016-01-15
2016-01-15 16:17:45,Interesting how big the ups &amp; downs have been in hedge fund returns in just days. https://t.co/0HhGcKswUW,2016-01-15
2016-01-15 16:22:02,"@SMTuffy This is one of the big question marks right now: how many more hedge funds will liquidate, &amp; what will that do to markets",2016-01-15
2016-01-15 16:33:35,@LadyFOHF @SMTuffy But the fact that so many funds are down means they don't have the will/means to be buyers right now,2016-01-15
2016-01-15 16:35:38,"@LadyFOHF @SMTuffy I'm not saying hedge fund closures will blow up the market, but that it's a strong market dynamic at an uncertain time",2016-01-15
2016-01-15 16:37:06,@LadyFOHF @SMTuffy Certainly in HY right now,2016-01-15
2016-01-15 16:50:15,"The rally in Treasuries ""is more than just a safe-haven trade. We’re seeing the economic foundation break down"" https://t.co/tr7uBaTb74",2016-01-15
2016-01-15 18:34:00,"Disappointing economic data is fanning fears that the U.S. ""is being dragged down into the mud by the rest of world"" https://t.co/71bl6cuMKY",2016-01-15
2016-01-15 19:59:18,"High-yield mutual funds have reported $15 billion of outflows since mid-November, equal to more than 5% of their AUM: Wells Fargo, EPFR data",2016-01-15
2016-01-15 20:25:08,Yields on 30-year Treasuries are plunging to lowest since August. Today is an inflation story more than anything. https://t.co/tr7uBaTb74,2016-01-15
2016-01-15 23:42:34,"Sports Authority fails to make a $20 million interest payment, heads toward bankruptcy. https://t.co/zNszV4cUhe @jodixu @LaurenLochner",2016-01-15
2016-01-16 01:54:17,"Bill Jennings, former co-head of fixed income at Jefferies, was recommended for disciplinary action. https://t.co/2RpS5Msa0U @business",2016-01-16
2016-01-18 01:37:01,Oil drops below $28 a barrel. https://t.co/4drRgjsPlY @business,2016-01-18
2016-01-18 01:43:50,Fewer &amp; fewer traders think the commodity slump will end anytime soon. https://t.co/n1nr2C4r0N @business,2016-01-18
2016-01-18 02:10:53,China is verbally telling banks not to allow transfers of yuan out of the country. Not exactly a confidence booster. https://t.co/8VVqFT4ros,2016-01-18
2016-01-18 02:29:15,Gundlach thinks the Fed will have to ease again soon. But how much will that work to calm markets at this point? https://t.co/1cOLTJVvUm,2016-01-18
2016-01-18 02:35:53,Why you haven't heard of Martin O'Malley: https://t.co/3WYxntlM0D,2016-01-18
2016-01-18 14:21:07,Italians are losing faith in their banks enough to stop investing in them. https://t.co/mVfVHV8EnZ @business,2016-01-18
2016-01-19 03:10:52,China just grew at the slowest pace for a quarter since 2009. https://t.co/pOcepW9Fxl @business,2016-01-19
2016-01-19 03:17:54,"China's using up reserves very quickly to support the yuan. They have to decide ""if they want to keep wasting money” https://t.co/4Ny4TXZ4g5",2016-01-19
2016-01-19 11:04:55,Donald Trump's failed junk-bond bet. https://t.co/2zBZF48Yzc,2016-01-19
2016-01-19 11:09:56,The Fed's still buying a lot of U.S. bonds. https://t.co/mE6HLF9rpt @mccormickliz,2016-01-19
2016-01-19 14:19:36,Goldman Sachs is increasingly making big loans to corporations in an effort to steal debt business. https://t.co/NTk1ba5Yr7 h/t @moorehn,2016-01-19
2016-01-19 14:22:53,The restructuring business is heating up as the credit cycle turns. https://t.co/P6xrIjDB2k,2016-01-19
2016-01-19 14:34:54,Regulators take a step toward increasing their oversight of the $14 trillion U.S. Treasury market https://t.co/Eg7ctrDnDX @iankatz @business,2016-01-19
2016-01-19 16:50:46,Here's a reason for the recent market slump: Sovereign wealth funds are selling assets to meet financial commitments https://t.co/MwLN9wcv7i,2016-01-19
2016-01-19 17:37:35,"If oil prices stay at $30 a barrel for nine quarters, Bank of America could lose $700 million on its energy portfolio: CFO Paul Donofrio",2016-01-19
2016-01-19 17:57:56,Maybe the problem with markets today isn't oil or China; maybe it's just overwhelming herding behavior: Blanchard https://t.co/6ieSsOPyV2,2016-01-19
2016-01-19 18:29:38,A hedge-fund manager who called the subprime crisis says China should weaken its currency by more than 50% this yr https://t.co/NRdRk48sIU,2016-01-19
2016-01-19 18:33:46,"About 70% of HY bond trades are now riskless-principal transactions, up from 30% of trades in 2011: TABB Group https://t.co/Sbz129lGa6",2016-01-19
2016-01-19 18:47:34,Bond dealers are already dialing back the 2016 Treasury calls they made at the end of 2015. https://t.co/PEwFjb1BCs @SuziAnn2 @business,2016-01-19
